屌丝	Loser
后来月宫里美丽的仙女嫦娥的神话故事赋予了它神话色彩	The festival was later given a mythological flavour with legends of Chang-E, the beautiful lady in the moon
后生可畏	The younger generation will surpass the older
后生小子	Young greenborns
后知后觉又过了一个秋后知后觉我该好好生活	Finally I got to know one year past again and I should live a good life
后端支付	Back-end Payment
后继无人	Leave no successor
后续会议	Follow-up meeting
后续机制	Follow-up mechanism
后藤真希	Goto Maki
后装操纵室	After-Loading Radiotherapy Unit Control Room
后装治疗室	After-Loading Radiotherapy Room
后装清洗室	After-Loading Radiotherapy Unit Washing Room
后起之秀	The bright younger generation
后车之戒	Lessons drawn from others ' mistakes
后进之秀	The bright younger generation
后院冰球	Backyard Hockey
后院棒球2009	Backyard Baseball 2009
后院棒球	Backyard Baseball
后院篮球	Backyard Basketball
后院美式足球2009	Backyard Football 2009
后院美式足球2010	Backyard Football'10
后院运动沙地强打者	Backyard Sports: Sandlot Sluggers
后顾之忧	Any menace from the " rear"
吐丝自缚	Produce silk to trap oneself
吐刚茹柔	Avoid the strong and bully the weak
吐司面包	Toast
吐哺捉发	Spit out a mouthful in the middle of eating and bind up one's hair in the midst of a bath in order to see visitors
吐哺握发	Spit out a mouthful in the middle of eating and bind up one's hair in the midst of a bath in order to see visitors
吐心吐胆	Open one's heart wide and lay bare one's thoughts
吐故纳新	Get rid of the stale and take in the fresh
吐气扬眉	Feel proud and happy
吐肝露胆	Lay bare one's heart
吐胆倾心	Open one's heart wide and lay bare one's thoughts
吐蕃王国	Tubo Kingdom
吐食握发	Spit out a mouthful in the middle of eating and bind up one's hair in the midst of a bath in order to see visitors
向上一路	Get a thorough understanding
向下格挡	Downward Block
向右看齐	Dress right
向壁虚构	A gross fabrication
向壁虚造	Create groundless rumors
向左看齐	Dress left
向平之原	Marriages of one's sons and daughters
向平之愿	Marriages of one's sons and daughters
向心关节轴承	Radial spherical plain bearing
向日葵大进发	Coropata
向日葵天空鹅卵石	HIMAWARI PEBBLE IN THE SKY
向日葵花	Sunflower
向火乞儿	A hanger-on of glory
向父母和老师说明学习要劳逸结合	Explain to the parents and teachers that study should be combined with laisure
向若而叹	Acknowledge the superiority of
向隅而泣	Weep in a corner and bewail one's sad fate
君不见高堂明月悲白发	See how lovely locks in bright mirrors in high chambers
君主政治	Monarchy
君子之交淡如水小人之交甘如醴君子淡以亲小人甘以绝	The friendship between men of virtue is light like water, yet affectionate; the friendship between men without virtue is sweet like wine, yet easily broken
君子兰花	The gentleman orchid
君子协定	A gentleman's agreement
君子喻于义小人喻于利	The gentleman knows what is right; the mean person keeps his mind only on gains
君子固穷	Be contented in poverty and devoted to things spiritual
君子好逑	A gentleman's good mate
君子情趣内衣	Gentlemanly lingerie
君子成人之美不成人之恶	The gentleman helps others to achieve their moral perfection but not their evil conduct
君子敏于行而讷于言	The gentlemen are speedy as a worker and cautious as a speaker
君子独立不惭于影独寝不愧于魂	A righteous man never feels ashamed to face his shadow when standing alone and to face his soul when sleeping alone
君度咖啡	Cointreau Coffee
君度橙酒	Cointreau Orange wine
君度甜酒	Cointreau Sweet wine
君臣佐使	Assistant and guide
君要臣死臣非死不可	If the ruler wants his vassal to die, then he must die
君辱臣死	When the prince is put to shame , the minister dies
吞云吐雾	To smoke opium
吞吞吐吐	Mutter and mumble
吞声忍气	Eat humble pie
吞声饮恨	Swallow the voice and hold the breath
吞声饮气	Swallow the voice and hold the breath
吞声饮泣	Gulp down sobs
吞食天地2	Tenchi wo Kurau 2
吞食天地	Conquering the World
吞食鱼2海难大决战	Feeding frenzy 2 shipwreck showdown
吟诗三首	Recite three poems
吟风咏月	Write vacuous poems
吟风弄月	Sing of the moon and the wind
吠形吠声	Slavishly echo others
吠影吠声	Follow others blindly
否去泰来	After rain comes the sunshine
否往泰来	After rain comes the sunshine
含义明确	Clear meaning
含冤受屈	Suffer an unjust grievance
含冤莫白	Suffer a grievous wrong with no hope of vengeance
含冤负屈	Suffer an unjust grievance
含冰茹檗	The hardest life of a widow
含哺鼓腹	A scene of light heartedness of the people in times of peace
含垢忍污	Bear shame and humiliation
含垢忍耻	Bear shame and humiliation
含垢忍辱	Bear shame and humiliation
含情脉脉	Full of silently conveyed tenderness
含油页岩	Oil-bearing shale
含笑九泉	One has nothing to regret in life
含笑入地	Smile in the underworld
含糊不明	Muddled and unclear
含糊其词	Talk ambiguously
含糊其辞	Equivocation
含苞待放	In early puberty
含苞欲放	A bud just ready to burst
含英咀华	Study and relish the beauties of literature
含菁咀华	Study and relish the beauties of literature
含蓼问疾	Ask after the people's sufferings with deep concern
含血喷人	Make slanderous charges at sb.
含血噀人	Make slanderous charges at sb.
含辛忍苦	Bear bitter hardships
含辛茹苦	Bear bitter hardships
含铅玻璃	Lead glass
含饴弄孙	An old man enjoys life with no cares
听不清楚	Can't hear it clearly
听之任之	Allow someone to continue
听人穿鼻	Disposed of by others like an animal
听其自流	Let things drift along
听写学单词基础英語训练	Listen to the basic English training
听到的人为我证明了 这世界我来过	People who heard of me would prove that I have been to the world
听天由命	Resign oneself to one's fate
听而不闻	Listen but not hear
听装奶粉	Tinned milk powder
听觉器官	Organ of hearing
听过几首歌 爱过几个人 就老了	I have just listened to several songs and loved a couple of people, yet find myself old
听过很多大道理依然过不好这一生	As many as lessons I have heard, I can't live like the lesson shows me
听风是雨	Be credulous
吮疽舐痔	To play the lickboot
吮痈舐痔	To play the lickboot
启动成本	Start-up cost
启动马达	To start the motor
启蒙运动	Enlightenment campaign
吴下阿蒙	An ignorant person
吴头楚尾	On the borders between the two kingdoms wu and chu
吴市之箫	Beg about the streets by playing an instrument
吴市吹箫	Beg about the streets by playing an instrument
吴带当风	Excellent drawing skills and elegant style
吴牛喘月	The buffaloes in jiangsu pant when they see the moon mistaking it for the hot sun
吴越同舟	Convert an enemy into a friend
吸吹风机	Suction blower
吸塑包装机	Blister packing machine
吸塑成型机	Plastic molding machine
吸塑托盘	Plastic tray
吸塑招牌	Plastic signs
吸收作用	Absorption
吸油烟机	Range hood
吸油面纸	Oil absorbing tissues
吸烟报警危及安全	Smoking will jeopardize your safety and trigger the alarm
吸线头机	Suction head machine
吸血蝙蝠	Vampire bat
吸血鬼与十字架	Rosario and vampire
吸血鬼之雨	Vampire Rain
吸血鬼之雨变种	Vampire Rain: Altered Species
吸血鬼化装舞会	Vampire: The Masquerade
吸血鬼德古拉3龙之路	Dracula 3: Path of the Dragon
吸血鬼杀手巴菲	Buffy the Vampire Slayer
吸血鬼杀手巴菲祭品	Buffy the Vampire Slayer: Sacrifice
吸血鬼猎人	Vampire Hunters
吸血鬼的故事	A Vampyre Story
吸血鬼起源	Dracula: Origin
吸血鬼骑士DS	Vampire knight ds
吸血鬼骑士	Vampire Knight
吸附式干燥机	Adsorption type dryer
吸音海棉	Sound-absorbing sponge
吸顶射灯	Ceiling lamp
吸风饮露	Inhale wind and drink dew -- to endure the hardship of travelling or fieldwork
吹制玻璃	Blow-molded glass
吹叶嚼蕊	Play wind instruments and sing
吹吹打打	Beating drums and blowing trumpets
吹塑纸版画	Blow molding paper print
吹弹得破	The skin is very tender
吹弹歌舞	Recreational activities
吹影镂尘	Blow a shadow and carve on a particle of dust -- without seeing any expressions or movement
吹毛求瑕	Carp
吹毛求疵	Carp
吹毛索疵	Carp
吹气如兰	Breathe like a lily
吹气球比赛	Ballon-blowing match
吹气胜兰	Breathe like a lily
吹灯拔蜡	Be done with
吹灰之力	As easy as blowing away the dust
吹牛拍马	Boast and flatter
吹箫乞食	Play the flageolet , begging for food -- ask alms by playing an instrument
吹篪乞食	Play the flageolet , begging for food -- ask alms by playing an instrument
吹糠见米	Get instant result
吹花嚼蕊	Play wind instruments and sing
吹角连营	March with trumpet
吾十有五而志于学	At fifteen, I had my mind bent on learning
吾谁与归	No one is like-minded
呆似木鸡	Dumbstruck
呆头呆脑	Idiotic
呆如木鸡	Dumb as a wooden chicken
呆若木鸡	Dumb as a wooden chicken
呈递国书	To present credentials
告往知来	Study the past and foretell the future changes
告朔饩羊	Do something perfunctorily as a routing practice
告老还乡	Resign from office and return to one's native town
告老还家	Resign from office and return to one's native town
告诉我为什么	Tell me why
告贷无门	Have no means to borrow money
呕心沥血	Make painstaking efforts
呕心滴血	Make painstaking efforts
员工专用	Staff Only
员工停车场	Staff Parking
员工手册	Employee handbook
员工规章制度	Staff regulations
呜呼哀哉	Alas
呜呼噫嘻	Alas
呜噜呜噜	Mumble
呢喃细语	Whisper softly
呢子大衣	Woollen overcoat
周一上午第十一届全国人民代表大会第五次会议在人民大会堂开幕	The 11th National People's Congress , China's parliament, opened its fifth annual session Monday morning at the Great Hall of the People in Beijing
周一全国人大常委会审议了关于在身份证上登记指纹信息的修正案	Lawmakers reviewed a proposed amendment on Monday that would allow fingerprint data on resident identity cards
周一华东空管局也证实了该报道	The Air Traffic Management Bureau East China also confirmed the reports on Monday
周一格斗之夜	Monday Night Combat
周一湖南省计生官员抢婴牟利震惊全国	Alleged child trafficking involving family-planning officials in Hunan Province stunned the nation on Monday
周三中国发布第一份反腐白皮书昭示了惩治腐败的决心	China expressed its resolve to strengthen the fight against corruption Wednesday as it released its first ever white paper on anti-graft efforts
周三早上我国改装的航空母舰离开辽宁大连港进行首次出海试航	China's refitted aircraft carrier left its shipyard at Dalian Port in northeast Liaoning province on Wednesday morning to start its first sea trial
周三立法者们开始首次讨论个人所得税修正草案	Lawmakers began to deliberate the draft amendment to the Individual Income Tax Law for the first time on Wednesday
周公三鲜浓汤面	Noodle Soup with Fish Maw, Abalone and Sea Cucumber
周公吐哺	Treat worthy men with courtesy
周六在遭受过地震和海啸摧残的日本搜救者正在努力救助幸存者	Rescuers struggled to reach survivors on Saturday as Japan reeled after an earthquake and tsunami struck in deadly tandem
周口店遗址	Zhoukoudian Ancient Site
周四浙江诸暨市浦阳江发生决堤洪水淹没了88个村庄	Floodwaters inundated 88 villages along the Puyang River in Zhuji city of East China's Zhejiang province after the river burst its banks on Thursday
周围神经和肌肉病门诊	Peripheral Nerve & Muscle Diseases Clinic
周围血管超声室	Peripheral Vascular Ultrasonography
周年庆典	Anniversary celebration
周日晚发生的伊朗坠机事件目前已造成至少70人死亡33人受伤	At least seventy people are feared to have been killed in an air crash in Iran on Sunday night, but 33 others were rescued with injuries
周日视差	Diurnal parallax
周游列国	Travel through all the kingdoms
周界2新地球	Perimeter 2: New Earth
周而不比	Cooperate to do good deeds
周而复始	Go round and begin again
周转资本	Working capital
周边外交	neighborhood diplomacy
呪医杜马丈太郎医生	Dr. Joutarou Touma
呱呱堕地	Newborn
味同嚼蜡	Insipid
味如嚼蜡	Insipid
味道属性	Taste property
呵佛骂祖	Act with courage and determination
呵壁问天	Blame god and fate
呵护孩子预防龋齿	Care for children, prevent decayed teeth
呵欠连天	Drowsy
呶呶不休	An endless stream of words
呷哺呷哺星球	GABU GABU Planet
呼之欲出	Seem ready to come out at one's call
呼伦贝尔大草原	Hulun Buir prairie
呼兰河传	The History of Hulan River
呼出限制	Call barring
呼卢喝雉	Gamble
呼叫信号	Calling signal
呼吸之间	Between breath
呼吸内科	Respiratory Medicine
呼吸器官	Respiratory organ
呼吸困难	Dyspnea
呼吸暗红色的气息	Breath: Toiki wa Akaneiro
呼吸相通	Share the feelings and sentiments
呼吸睡眠障碍门诊	Respiratory & Sleep Disorder Clinic
呼吸道传染病诊室	Respiratory Infectious Diseases Consulting Room
呼吸门诊	Respiratory Clinic
呼唤英雄波姆伯利克战争	Call for Heroes: Pompolic Wars
呼啸战神3	Warlords Battlecry 3
呼天叩地	Lament to heaven and knock one's head on earth
呼天叫地	Under an injustice
呼天号地	Under an injustice
呼天吁地	Under an injustice
呼天唤地	Call to heaven and earth
呼天抢地	Lament to heaven and knock one's head on earth
呼天钥地	Under an injustice
呼幺喝六	Shout in casting dice
呼庚呼癸	Request for financial help
呼救信号	Signal for help
呼朋唤友	Make friends with congenial persons
呼朋引伴	Gather a clique
呼朋引类	Gather a clique
呼来喝去	Boss around
呼牛作马	Disregard hostile opinion
呼牛呼马	Let people call me what they will -- disregard hostile opinion
呼风唤雨	Summon wind and call for rain
命世之才	One destined to govern
命令与征服3凯恩之怒	Command & Conquer 3: Kane's Wrath
